titolo,file,href
Agenzie Fiscali,Imm_Agenzie_Fiscali_2019.zip,/modules/documenti_it/attivo_patrimonio/2019/open_data_imm/Imm_Agenzie_Fiscali_2019.zip
Altre Amministrazioni Centrali,Imm_Altre_Amministrazioni_Centrali_2019.zip,/modules/documenti_it/attivo_patrimonio/2019/open_data_imm/Imm_Altre_Amministrazioni_Centrali_2019.zip
Enti Nazionali Pubblici di Previdenza e Assistenza,Imm_Enti_Nazionali_di_Previdenza_e_Assistenza_2019.zip,/modules/documenti_it/attivo_patrimonio/2019/open_data_imm/Imm_Enti_Nazionali_di_Previdenza_e_Assistenza_2019.zip
Ministeri e Organi Costituzionali,Imm_Ministeri_e_Organi_costituzionali_2019.zip,/modules/documenti_it/attivo_patrimonio/2019/open_data_imm/Imm_Ministeri_e_Organi_costituzionali_2019.zip
Altre Amministrazioni Locali,Imm_Altre_Amministrazioni_Locali_2019.zip,/modules/documenti_it/attivo_patrimonio/2019/open_data_imm/Imm_Altre_Amministrazioni_Locali_2019.zip
"Aziende, Enti e Istituti Territoriali per l'Edilizia Residenziale",Imm_Aziende_Enti_ed_Istituti_Territoriali_per_l_Edilizia_Residenziale_2019.zip,/modules/documenti_it/attivo_patrimonio/2019/open_data_imm/Imm_Aziende_Enti_ed_Istituti_Territoriali_per_l_Edilizia_Residenziale_2019.zip
Camere di Commercio ed Unioni di Camere di Commercio,Imm_Camere_di_commercio_ed_Unioni_di_Camere_di_Commercio_2019.zip,/modules/documenti_it/attivo_patrimonio/2019/open_data_imm/Imm_Camere_di_commercio_ed_Unioni_di_Camere_di_Commercio_2019.zip
Città Metropolitane e Province,Imm_Province_e_Citta_Metropolitane_2019.zip,/modules/documenti_it/attivo_patrimonio/2019/open_data_imm/Imm_Province_e_Citta_Metropolitane_2019.zip
Enti Locali del Servizio Sanitario Nazionale,Imm_Enti_Locali_del_Servizio_Sanitario_Nazionale_2019.zip,/modules/documenti_it/attivo_patrimonio/2019/open_data_imm/Imm_Enti_Locali_del_Servizio_Sanitario_Nazionale_2019.zip
Regioni,Imm_Amministrazioni_Regionali_2019.zip,/modules/documenti_it/attivo_patrimonio/2019/open_data_imm/Imm_Amministrazioni_Regionali_2019.zip
Università,Imm_Universita_2019.zip,/modules/documenti_it/attivo_patrimonio/2019/open_data_imm/Imm_Universita_2019.zip
Abruzzo,Imm_Amministrazioni_Comunali_ABRUZZO_2019.zip,/modules/documenti_it/attivo_patrimonio/2019/open_data_imm/Imm_Amministrazioni_Comunali_ABRUZZO_2019.zip
Basilicata,Imm_Amministrazioni_Comunali_BASILICATA_2019.zip,/modules/documenti_it/attivo_patrimonio/2019/open_data_imm/Imm_Amministrazioni_Comunali_BASILICATA_2019.zip
Calabria,Imm_Amministrazioni_Comunali_CALABRIA_2019.zip,/modules/documenti_it/attivo_patrimonio/2019/open_data_imm/Imm_Amministrazioni_Comunali_CALABRIA_2019.zip
Campania,Imm_Amministrazioni_Comunali_CAMPANIA_2019.zip,/modules/documenti_it/attivo_patrimonio/2019/open_data_imm/Imm_Amministrazioni_Comunali_CAMPANIA_2019.zip
Emilia Romagna,Imm_Amministrazioni_Comunali_EMILIA-ROMAGNA_2019.zip,/modules/documenti_it/attivo_patrimonio/2019/open_data_imm/Imm_Amministrazioni_Comunali_EMILIA-ROMAGNA_2019.zip
Friuli Venezia Giulia,Imm_Amministrazioni_Comunali_FRIULI-VENEZIA-GIULIA_2019.zip,/modules/documenti_it/attivo_patrimonio/2019/open_data_imm/Imm_Amministrazioni_Comunali_FRIULI-VENEZIA-GIULIA_2019.zip
Lazio,Imm_Amministrazioni_Comunali_LAZIO_2019.zip,/modules/documenti_it/attivo_patrimonio/2019/open_data_imm/Imm_Amministrazioni_Comunali_LAZIO_2019.zip
Liguria,Imm_Amministrazioni_Comunali_LIGURIA_2019.zip,/modules/documenti_it/attivo_patrimonio/2019/open_data_imm/Imm_Amministrazioni_Comunali_LIGURIA_2019.zip
Lombardia,Imm_Amministrazioni_Comunali_LOMBARDIA_2019.zip,/modules/documenti_it/attivo_patrimonio/2019/open_data_imm/Imm_Amministrazioni_Comunali_LOMBARDIA_2019.zip
Marche,Imm_Amministrazioni_Comunali_MARCHE_2019.zip,/modules/documenti_it/attivo_patrimonio/2019/open_data_imm/Imm_Amministrazioni_Comunali_MARCHE_2019.zip
Molise,Imm_Amministrazioni_Comunali_MOLISE_2019.zip,/modules/documenti_it/attivo_patrimonio/2019/open_data_imm/Imm_Amministrazioni_Comunali_MOLISE_2019.zip
Piemonte,Imm_Amministrazioni_Comunali_PIEMONTE_2019.zip,/modules/documenti_it/attivo_patrimonio/2019/open_data_imm/Imm_Amministrazioni_Comunali_PIEMONTE_2019.zip
Puglia,Imm_Amministrazioni_Comunali_PUGLIA_2019.zip,/modules/documenti_it/attivo_patrimonio/2019/open_data_imm/Imm_Amministrazioni_Comunali_PUGLIA_2019.zip
Sardegna,Imm_Amministrazioni_Comunali_SARDEGNA_2019.zip,/modules/documenti_it/attivo_patrimonio/2019/open_data_imm/Imm_Amministrazioni_Comunali_SARDEGNA_2019.zip
Sicilia,Imm_Amministrazioni_Comunali_SICILIA_2019.zip,/modules/documenti_it/attivo_patrimonio/2019/open_data_imm/Imm_Amministrazioni_Comunali_SICILIA_2019.zip
Toscana,Imm_Amministrazioni_Comunali_TOSCANA_2019.zip,/modules/documenti_it/attivo_patrimonio/2019/open_data_imm/Imm_Amministrazioni_Comunali_TOSCANA_2019.zip
Trentino Alto adige,Imm_Amministrazioni_Comunali_TRENTINO-ALTO-ADIGE_2019.zip,/modules/documenti_it/attivo_patrimonio/2019/open_data_imm/Imm_Amministrazioni_Comunali_TRENTINO-ALTO-ADIGE_2019.zip
Umbria,Imm_Amministrazioni_Comunali_UMBRIA_2019.zip,/modules/documenti_it/attivo_patrimonio/2019/open_data_imm/Imm_Amministrazioni_Comunali_UMBRIA_2019.zip
Valle D'Aosta,Imm_Amministrazioni_Comunali_VALLE-D_AOSTA_2019.zip,/modules/documenti_it/attivo_patrimonio/2019/open_data_imm/Imm_Amministrazioni_Comunali_VALLE-D_AOSTA_2019.zip
Veneto,Imm_Amministrazioni_Comunali_VENETO_2019.zip,/modules/documenti_it/attivo_patrimonio/2019/open_data_imm/Imm_Amministrazioni_Comunali_VENETO_2019.zip
